자동 규칙 추가 로그
일시: 2026-04-24 00:00:32
추가된 규칙: 252개

  가공따위를 -> 가공 따위를
  가공따위의 -> 가공 따위의
  가루따위를 -> 가루 따위를
  가소물따위가 -> 가소물 따위가
  가열따위의 -> 가열 따위의
  가위바위보따위의 -> 가위바위보 따위의
  각도따위를 -> 각도 따위를
  간호원따위를 -> 간호원 따위를
  감상따위를 -> 감상 따위를
  강따위의 -> 강 따위의
  거적따위를 -> 거적 따위를
  건설업따위의 -> 건설업 따위의
  건축물따위에 -> 건축물 따위에
  건축물따위의 -> 건축물 따위의
  검정기와따위가 -> 검정기와 따위가
  것따위를 -> 것 따위를
  게임방따위의 -> 게임방 따위의
  결핵균따위의 -> 결핵균 따위의
  경마따위에 -> 경마 따위에
  경목가구따위에 -> 경목가구 따위에
  계약따위를 -> 계약 따위를
  계피따위를 -> 계피 따위를
  고기따위가 -> 고기 따위가
  고분자화합물따위가 -> 고분자화합물 따위가
  고용따위의 -> 고용 따위의
  고유함수사이의 -> 고유함수 사이의
  공룡따위의 -> 공룡 따위의
  공사장따위에 -> 공사장 따위에
  공연따위를 -> 공연 따위를
  공예따위를 -> 공예 따위를
  공예품따위가 -> 공예품 따위가
  공예품따위를 -> 공예품 따위를
  과일따위가 -> 과일 따위가
  과일따위의 -> 과일 따위의
  관계따위에 -> 관계 따위에
  관점따위가 -> 관점 따위가
  광물따위의 -> 광물 따위의
  광석따위의 -> 광석 따위의
  광선따위가 -> 광선 따위가
  광채따위가 -> 광채 따위가
  광택내기따위의 -> 광택내기 따위의
  교통운수따위의 -> 교통운수 따위의
  구근류따위의 -> 구근류 따위의
  구슬따위가 -> 구슬 따위가
  구절사이에 -> 구절 사이에
  구조따위의 -> 구조 따위의
  구하도사이에 -> 구하도 사이에
  굴착기따위의 -> 굴착기 따위의
  귀수화기따위의 -> 귀수화기 따위의
  그들사이의 -> 그들 사이의
  극따위의 -> 극 따위의
  기능따위가 -> 기능 따위가
  기둥사이의 -> 기둥 사이의
  기러기따위가 -> 기러기 따위가
  기면증치료따위에 -> 기면증치료 따위에
  기업따위의 -> 기업 따위의
  기장쌀따위의 -> 기장쌀 따위의
  긴팔원숭이따위를 -> 긴팔원숭이 따위를
  김치따위를 -> 김치 따위를
  꽃바구니따위의 -> 꽃바구니 따위의
  끈따위가 -> 끈 따위가
  나누기따위의 -> 나누기 따위의
  나사선사이의 -> 나사선 사이의
  남자친구들사이의 -> 남자친구들 사이의
  내열성따위가 -> 내열성 따위가
  능력따위를 -> 능력 따위를
  니켈따위의 -> 니켈 따위의
  단전호흡따위의 -> 단전호흡 따위의
  단체따위가 -> 단체 따위가
  단체사이의 -> 단체 사이의
  달따위에 -> 달 따위에
  닭알따위의 -> 닭알 따위의
  대광주리따위를 -> 대광주리 따위를
  대출따위를 -> 대출 따위를
  돈따위를 -> 돈 따위를
  돌따위가 -> 돌 따위가
  동년배사이에 -> 동년배 사이에
  동작따위가 -> 동작 따위가
  돼지고기따위를 -> 돼지고기 따위를
  되였는지따위의 -> 되였는지 따위의
  둘사이에 -> 둘 사이에
  등급따위를 -> 등급 따위를
  띠따위의 -> 띠 따위의
  량자사이에 -> 량자 사이에
  려관따위에 -> 려관 따위에
  련인사이이 -> 련인 사이이
  련접사이에 -> 련접 사이에
  령해따위의 -> 령해 따위의
  로케트무기따위를 -> 로케트무기 따위를
  루각따위의 -> 루각 따위의
  루대따위의 -> 루대 따위의
  류인원따위가 -> 류인원 따위가
  륙면체따위의 -> 륙면체 따위의
  륵골사이에 -> 륵골 사이에
  립춘사이에 -> 립춘 사이에
  마늘따위가 -> 마늘 따위가
  마싸지따위의 -> 마싸지 따위의
  머리카락따위가 -> 머리카락 따위가
  메추리따위의 -> 메추리 따위의
  명리따위를 -> 명리 따위를
  목소리따위가 -> 목소리 따위가
  목탁따위를 -> 목탁 따위를
  목표따위를 -> 목표 따위를
  문자따위를 -> 문자 따위를
  물따위가 -> 물 따위가
  물따위를 -> 물 따위를
  물따위의 -> 물 따위의
  물레따위가 -> 물레 따위가
  물체사이의 -> 물체 사이의
  밀전병따위를 -> 밀전병 따위를
  바위따위가 -> 바위 따위가
  배관따위의 -> 배관 따위의
  버들고리따위를 -> 버들고리 따위를
  벌레따위를 -> 벌레 따위를
  벽돌따위를 -> 벽돌 따위를
  보이라따위의 -> 보이라 따위의
  복숭아꽃따위가 -> 복숭아꽃 따위가
  본적도 -> 본 적도
  본적은 -> 본 적은
  본적이 -> 본 적이
  부착비따위를 -> 부착비 따위를
  분량따위를 -> 분량 따위를
  불빛따위가 -> 불빛 따위가
  비따위가 -> 비 따위가
  비방울따위가 -> 비방울 따위가
  빨래판따위의 -> 빨래판 따위의
  사무용책상들사이에 -> 사무용책상들 사이에
  사물따위가 -> 사물 따위가
  사원따위의 -> 사원 따위의
  사자따위의 -> 사자 따위의
  사탕따위의 -> 사탕 따위의
  사회활동따위가 -> 사회활동 따위가
  산문따위를 -> 산문 따위를
  살상폭파탄따위를 -> 살상폭파탄 따위를
  상점따위의 -> 상점 따위의
  상처따위가 -> 상처 따위가
  새소리따위의 -> 새소리 따위의
  생육상태따위가 -> 생육상태 따위가
  서예따위가 -> 서예 따위가
  서적따위의 -> 서적 따위의
