자동 규칙 추가 로그
일시: 2026-04-23 23:49:05
추가된 규칙: 114개

  가르치는것이 -> 가르치는 것이
  가보는것이 -> 가보는 것이
  거는것은 -> 거는 것은
  거리끼는것이 -> 거리끼는 것이
  고된것도 -> 고된 것도
  괜찮을것이 -> 괜찮을 것이
  긁어모으려는것이 -> 긁어모으려는 것이
  기이한것을 -> 기이한 것을
  긴것을 -> 긴 것을
  긴것이 -> 긴 것이
  깨는것을 -> 깨는 것을
  꾸며대는것이 -> 꾸며대는 것이
  나누는것은 -> 나누는 것은
  나쁜것이 -> 나쁜 것이
  내는것은 -> 내는 것은
  내는것이 -> 내는 것이
  다른것도 -> 다른 것도
  다른것에 -> 다른 것에
  달구는것을 -> 달구는 것을
  달아나는것이 -> 달아나는 것이
  대응되는것이 -> 대응되는 것이
  대할것을 -> 대할 것을
  데면데면한것은 -> 데면데면한 것은
  도망가는것은 -> 도망가는 것은
  돌보는것은 -> 돌보는 것은
  돕는것은 -> 돕는 것은
  되는것은 -> 되는 것은
  되는것을 -> 되는 것을
  될것을 -> 될 것을
  두는것도 -> 두는 것도
  두는것은 -> 두는 것은
  드러내는것을 -> 드러내는 것을
  득남한것을 -> 득남한 것을
  떠돌고있는것은 -> 떠돌고있는 것은
  랭담한것은 -> 랭담한 것은
  렬거하는것만 -> 렬거하는 것만
  렬거한것은 -> 렬거한 것은
  많은것이 -> 많은 것이
  머무는것은 -> 머무는 것은
  먹고입는것이 -> 먹고입는 것이
  무딘것이 -> 무딘 것이
  바줄같은것을 -> 바줄같은 것을
  배운것이 -> 배운 것이
  베푸는것은 -> 베푸는 것은
  보고싶었던것이 -> 보고싶었던 것이
  부유해지는것이 -> 부유해지는 것이
  부족한것이 -> 부족한 것이
  불려가는것은 -> 불려가는 것은
  비슷한것은 -> 비슷한 것은
  빈둥거리는것도 -> 빈둥거리는 것도
  뿔비슷한것이 -> 뿔비슷한 것이
  사람이라는것을 -> 사람이라는 것을
  사소한것에 -> 사소한 것에
  새로운것을 -> 새로운 것을
  생기는것을 -> 생기는 것을
  생산한것이 -> 생산한 것이
  소개한것은 -> 소개한 것은
  손수일떠세웠다는것도 -> 손수일떠세웠다는 것도
  손해보는것은 -> 손해보는 것은
  시시한것을 -> 시시한 것을
  실패했다는것을 -> 실패했다는 것을
  심는것이 -> 심는 것이
  쌓은것이 -> 쌓은 것이
  쏘는것은 -> 쏘는 것은
  아는것이 -> 아는 것이
  앉아계시는것을 -> 앉아계시는 것을
  않는것이 -> 않는 것이
  않다는것을 -> 않다는 것을
  알아보는것도 -> 알아보는 것도
  얻는것이 -> 얻는 것이
  얻어지는것이 -> 얻어지는 것이
  옮겨심는것이 -> 옮겨심는 것이
  위한것이 -> 위한 것이
  이루는것을 -> 이루는 것을
  이름짓는것에 -> 이름짓는 것에
  읽는것은 -> 읽는 것은
  잇닿아있는것은 -> 잇닿아있는 것은
  있는것은 -> 있는 것은
  있었을것이 -> 있었을 것이
  자는것은 -> 자는 것은
  자세한것은 -> 자세한 것은
  작은것도 -> 작은 것도
  잘사는것을 -> 잘사는 것을
  존귀한것이 -> 존귀한 것이
  좋은것에 -> 좋은 것에
  좋은것이 -> 좋은 것이
  주고받는것이 -> 주고받는 것이
  주는것만 -> 주는 것만
  주어진것이 -> 주어진 것이
  주요한것을 -> 주요한 것을
  즐거울것이 -> 즐거울 것이
  짜는것이 -> 짜는 것이
  차리는것은 -> 차리는 것은
  창백한것은 -> 창백한 것은
  찾은것이 -> 찾은 것이
  책임질것이 -> 책임질 것이
  청한것은 -> 청한 것은
  초록한것을 -> 초록한 것을
  추워질것이 -> 추워질 것이
  추한것은 -> 추한 것은
  치는것을 -> 치는 것을
  큰것에 -> 큰 것에
  큰것을 -> 큰 것을
  튀긴것을 -> 튀긴 것을
  폭발하리라는것을 -> 폭발하리라는 것을
  풀어질것이 -> 풀어질 것이
  필요한것이 -> 필요한 것이
  한것을 -> 한 것을
  한것이 -> 한 것이
  할것이 -> 할 것이
  합쳐지는것이 -> 합쳐지는 것이
  환장한것이 -> 환장한 것이
  훌륭한것은 -> 훌륭한 것은
  흐릿해진것은 -> 흐릿해진 것은
